83	Microbulbifer sp007183175;Microbulbifer;Cellvibrionaceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria	Microbulbifer sp. GL-2;Microbulbifer;Microbulbiferaceae;Cellvibrionales;Gammaproteobacteria;Proteobacteria
84	Shewanella sp007197555;Shewanella;Shewanellaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Shewanella psychropiezotolerans;Shewanella;Shewanellaceae;Alteromonadales;Gammaproteobacteria;Proteobacteria
85	Ornithinicoccus sp007197575;Ornithinicoccus;Dermatophilaceae;Actinomycetales;Actinomycetia;Actinobacteriota	Ornithinimicrobium ciconiae;Ornithinimicrobium;Ornithinimicrobiaceae;Micrococcales;Actinomycetia;Actinobacteria
86	Formosa sp007197735;Formosa;Flavobacteriaceae;Flavobacteriales;Bacteroidia;Bacteroidota	Formosa sediminum;Formosa;Flavobacteriaceae;Flavobacteriales;Flavobacteriia;Bacteroidetes
87	Ferrovibrio sp007197755;Ferrovibrio;Ferrovibrionaceae;Ferrovibrionales;Alphaproteobacteria;Proteobacteria	Ferrovibrio terrae;Ferrovibrio;Rhodospirillaceae;Rhodospirillales;Alphaproteobacteria;Proteobacteria
88	Thalassotalea_A sp007197775;Thalassotalea_A;Alteromonadaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Thalassotalea sp. PS06;Thalassotalea;Colwelliaceae;Alteromonadales;Gammaproteobacteria;Proteobacteria
89	Catenovulum sediminis;Catenovulum;Alteromonadaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Catenovulum sediminis;Catenovulum;Alteromonadaceae;Alteromonadales;Gammaproteobacteria;Proteobacteria
90	Serratia_C symbiotica_A;Serratia_C;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Serratia symbiotica;Serratia;Yersiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
91	Dickeya aquatica;Dickeya;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Dickeya aquatica;Dickeya;Pectobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
92	Mesotoga infera_B;Mesotoga;Kosmotogaceae;Petrotogales;Thermotogae;Thermotogota	Mesotoga infera;Mesotoga;Kosmotogaceae;Kosmotogales;Thermotogae;Thermotogae
93	Mycobacterium basiliense;Mycobacterium;Mycobacteriaceae;Mycobacteriales;Actinomycetia;Actinobacteriota	Mycobacterium basiliense;Mycobacterium;Mycobacteriaceae;Corynebacteriales;Actinomycetia;Actinobacteria
94	Pseudomonas_E sp900475325;Pseudomonas_E;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria	Paucimonas lemoignei;Paucimonas;Burkholderiaceae;Burkholderiales;Betaproteobacteria;Proteobacteria
95	Morganella morganii;Morganella;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Morganella morganii;Morganella;Morganellaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
96	Streptococcus equi;Streptococcus;Streptococcaceae;Lactobacillales;Bacilli;Firmicutes	Streptococcus equi;Streptococcus;Streptococcaceae;Lactobacillales;Bacilli;Firmicutes
97	Bacillus_S pseudofirmus;Bacillus_S;Bacillaceae_D;Bacillales;Bacilli;Firmicutes	Alkalihalobacillus pseudofirmus;Alkalihalobacillus;Bacillaceae;Bacillales;Bacilli;Firmicutes
98	Escherichia flexneri;Escherichia;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Escherichia coli;Escherichia;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
99	Ureaplasma parvum;Ureaplasma;Mycoplasmoidaceae;Mycoplasmatales;Bacilli;Firmicutes	Ureaplasma parvum;Ureaplasma;Mycoplasmataceae;Mycoplasmatales;Mollicutes;Tenericutes
100	Chlamydia muridarum;Chlamydia;Chlamydiaceae;Chlamydiales;Chlamydiia;Verrucomicrobiota_A	Chlamydia muridarum;Chlamydia;Chlamydiaceae;Chlamydiales;Chlamydiia;Chlamydiae
103	Pasteurella multocida;Pasteurella;Pasteurellaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Pasteurella multocida;Pasteurella;Pasteurellaceae;Pasteurellales;Gammaproteobacteria;Proteobacteria
104	Streptococcus pneumoniae;Streptococcus;Streptococcaceae;Lactobacillales;Bacilli;Firmicutes	Streptococcus pneumoniae;Streptococcus;Streptococcaceae;Lactobacillales;Bacilli;Firmicutes
105	Salmonella enterica;Salmonella;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Salmonella enterica;Salmonella;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
106	Chlorobaculum tepidum;Chlorobaculum;Chlorobiaceae;Chlorobiales;Chlorobia;Bacteroidota	Chlorobaculum tepidum;Chlorobaculum;Chlorobiaceae;Chlorobiales;Chlorobia;Chlorobi
107	Rickettsia rickettsii;Rickettsia;Rickettsiaceae;Rickettsiales;Alphaproteobacteria;Proteobacteria	Rickettsia japonica;Rickettsia;Rickettsiaceae;Rickettsiales;Alphaproteobacteria;Proteobacteria
108	Zymomonas mobilis;Zymomonas;Sphingomonadaceae;Sphingomonadales;Alphaproteobacteria;Proteobacteria	Zymomonas mobilis;Zymomonas;Zymomonadaceae;Sphingomonadales;Alphaproteobacteria;Proteobacteria
109	Brucella melitensis;Brucella;Rhizobiaceae;Rhizobiales;Alphaproteobacteria;Proteobacteria	Brucella melitensis;Brucella;Brucellaceae;Hyphomicrobiales;Alphaproteobacteria;Proteobacteria
110	Xanthomonas campestris;Xanthomonas;Xanthomonadaceae;Xanthomonadales;Gammaproteobacteria;Proteobacteria	Xanthomonas campestris;Xanthomonas;Xanthomonadaceae;Xanthomonadales;Gammaproteobacteria;Proteobacteria
